出表日期,公司代號,公司名稱,大股東名稱
1130525,6144,得利影,中嘉國際投資股份有限公司
1130525,6144,得利影,中環股份有限公司
1130525,6144,得利影,日商文化便利俱樂部股份有限公司
1130525,6146,耕興,友興投資股份有限公司
1130525,6154,順發,佳鴻投資股份有限公司
1130525,6154,順發,宜鴻投資股份有限公司
1130525,6158,禾昌,陳財福
1130525,6161,捷波,研揚科技股份有限公司
1130525,6163,華電網,研華投資股份有限公司
1130525,6167,久正,佰鴻工業股份有限公司
1130525,6169,昱泉,大敦投資股份有限公司
1130525,6170,統振,宏碁股份有限公司
1130525,6171,大城地產,大城建設股份有限公司
1130525,6171,大城地產,賴源釗
1130525,6173,信昌電,華新科技股份有限公司
1130525,6174,安碁,安聖電子科技股份有限公司
1130525,6175,立敦,立隆電子工業股份有限公司
1130525,6175,立敦,廣東東陽光科技控股股份有限公司
1130525,6180,橘子,劉柏園
1130525,6185,幃翔,春田投資股份有限公司
1130525,6188,廣明,廣達電腦股份有限公司
1130525,6195,詩肯,英屬維京群島商ＮＯＢＬＥ  ＬＩＮＫ  ＭＡＮＡＧＥＭＥＮＴ  ＬＴＤ
1130525,6198,瑞築,有旺投資有限公司
1130525,6198,瑞築,源通投資股份有限公司
1130525,6199,天品,豪富投資股份有限公司
1130525,6203,海韻電,張正宗
1130525,6203,海韻電,魏金花
1130525,6212,理銘,楊邴淇
1130525,6219,富旺,天衛資產管理股份有限公司
1130525,6219,富旺,昌運建設開發股份有限公司
1130525,6219,富旺,寶鉅投資股份有限公司
1130525,6219,富旺,寶鑫投資有限公司
1130525,6221,晉泰,昇鋒投資股份有限公司
1130525,6221,晉泰,精誠資訊股份有限公司
1130525,6222,上揚,聯容國際股份有限公司
1130525,6227,茂綸,駿日股份有限公司
1130525,6228,全譜,三德觀光大飯店股份有限公司
1130525,6229,研通,許劍郎
1130525,6231,系微,倍微科技股份有限公司
1130525,6234,高僑,李義隆
1130525,6236,中湛,仲達資產管理股份有限公司
1130525,6236,中湛,佑湛投資股份有限公司
1130525,6236,中湛,漢青國際股份有限公司
1130525,6236,中湛,聚合發資產管理股份有限公司
1130525,6236,中湛,豐利富股份有限公司
1130525,6240,松崗,有龍建設開發股份有限公司
1130525,6240,松崗,曹來春
1130525,6240,松崗,喜旺投資股份有限公司
1130525,6241,易通展,易昇鋼鐵股份有限公司
1130525,6242,立康,生春堂製藥工業股份有限公司
1130525,6242,立康,立康生物科技股份有限公司
1130525,6245,立端,台達電子工業股份有限公司
1130525,6246,臺龍,景旺國際有限公司
1130525,6246,臺龍,黃天然
1130525,6259,百徽,兆豐銀受託保管新曄科技有限公司
1130525,6259,百徽,卓順發
1130525,6263,普萊德,普揚投資股份有限公司
1130525,6264,富裔,亞瑟士國際工程股份有限公司
1130525,6264,富裔,祝文定
1130525,6264,富裔,順捷投資股份有限公司
1130525,6265,方方土昶,哲睿投資股份有限公司
1130525,6270,倍微,傅江松
1130525,6275,元山,陳建榮
1130525,6276,安鈦克,行達明珠投資有限公司
1130525,6276,安鈦克,利昌明珠投資有限公司
1130525,6276,安鈦克,利達明珠投資有限公司
1130525,6276,安鈦克,知達明珠投資有限公司
1130525,6276,安鈦克,達昌明珠投資有限公司
1130525,6284,佳邦,華新科技股份有限公司
1130525,6287,元隆,日月光半導體製造股份有限公司
1130525,6287,元隆,台灣福雷電子股份有限公司
1130525,6291,沛亨,呂俊德
1130525,6291,沛亨,振曜科技股份有限公司
1130525,6292,迅德,滿穗投資股份有限公司
1130525,6294,智基,林進榮
1130525,6294,智基,鴻鑫達投資股份有限公司
1130525,6404,通訊-KY,ROSLI BIN DAHLAN
1130525,6404,通訊-KY,UNIVERSAL ALTITUDE INVESTMENT LIMITED
